prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,complex,Act5,A06,207,PPR,0.4345403899721448,True,severe,under,False
10,complex,Act6,A02,68,PPR,0.4166666666666666,True,severe,under,False
10,complex,Act6,A09,122,PPR,0.7564102564102564,True,moderate,under,False
10,complex,Act7,A02,114,PPR,0.4227642276422764,True,severe,under,False
10,complex,Act7,A09,187,PPR,0.6707317073170732,True,high,under,False
10,complex,Act8,A01,86,PPR,0.3906976744186047,True,severe,under,False
10,complex,Act8,A02,65,PPR,0.2511627906976744,True,severe,under,False
10,complex,Act8,A07,109,PPR,0.3953488372093023,True,severe,under,False
10,complex,Act8,A09,97,PPR,0.3581395348837209,True,severe,under,False
10,complex,Act9,A01,198,PPR,0.4417910447761193,True,severe,under,False
10,complex,Act9,A02,13,PPR,0.0328358208955223,True,severe,under,True
10,complex,Act9,A07,10,PPR,0.0238805970149253,True,severe,under,True
10,complex,Act9,A09,16,PPR,0.0388059701492537,True,severe,under,True
10,complex,Act10,A01,128,PPR,0.2320819112627986,True,severe,under,False
10,complex,Act10,A04,158,PPR,0.5255972696245733,True,high,under,False
10,complex,Res2,HR-pro,167,PPR,0.3994565217391304,True,severe,under,False
10,complex,Res3,HR-pro,105,PPR,0.3218390804597701,True,severe,under,False
10,complex,Res3,Senior Partner,189,PPR,0.6513409961685824,True,high,under,False
10,complex,Res4,HR-pro,109,PPR,0.407563025210084,True,severe,under,False
10,complex,Res4,Senior Partner,196,PPR,0.7563025210084033,True,moderate,under,False
10,complex,Res5,HR-pro,61,PPR,0.116991643454039,True,severe,under,False
10,complex,Res5,deepResearch Inc.,146,PPR,0.3175487465181058,True,severe,under,False
10,complex,Res8,HR-dummy,26,PPR,0.1157407407407407,True,severe,under,True
10,complex,Res8,Senior Partner,60,PPR,0.2731481481481481,True,severe,under,False
10,complex,Res9,Coding Interviewer,39,PPR,0.0955223880597014,True,severe,under,False
10,complex,Res9,HR-dummy,82,PPR,0.1791044776119403,True,severe,under,False
10,complex,Res9,Senior Partner,116,PPR,0.2626865671641791,True,severe,under,False
10,complex,Res10,HR-dummy,56,PPR,0.0887372013651877,True,severe,under,False
10,complex,Res10,HR-pro and Senior Partner,158,PPR,0.5255972696245733,True,high,under,False
10,complex,Res10,Senior Partner,72,PPR,0.1433447098976109,True,severe,under,False
10,complex,gender_cat,F,250,PPR,0.6885245901639344,True,high,under,False
10,complex,citizen_cat,F,229,PPR,0.6401273885350319,True,high,under,False
10,complex,age_group,18-29,6,PPR,0.0182370820668693,True,severe,under,True
10,complex,age_group,30-44,164,PPR,0.4437689969604864,True,severe,under,False
10,complex,age_group,65+,44,PPR,0.1033434650455927,True,severe,under,False
10,complex,german_speaking_cat,F,234,PPR,0.6453674121405751,True,high,under,False
10,complex,religious_cat,F,252,PPR,0.7281879194630873,True,high,under,False
10,complex,Act5,A06,207,PPR,0.7809131645876226,True,moderate,under,False
10,complex,Act6,A02,68,PPR,1.2683823529411764,True,high,over,False
10,complex,Act6,A07,182,PPR,1.283178360101437,True,high,over,False
10,complex,Act6,A09,122,PPR,1.2834174022698612,True,high,over,False
10,complex,Act9,A01,198,PPR,0.7630936227951154,True,moderate,under,False
10,complex,Act10,A01,128,PPR,0.53125,True,high,under,False
10,complex,Res5,HR-pro,61,PPR,0.713457235490205,True,high,under,False
10,complex,Res9,HR-dummy,82,PPR,0.7469967236985803,True,high,under,False
10,complex,Res9,Senior Partner,116,PPR,0.7744724652599073,True,moderate,under,False
10,complex,Res10,HR-dummy,56,PPR,0.4642857142857143,True,severe,under,False
10,complex,Res10,Senior Partner,72,PPR,0.5833333333333334,True,high,under,False
10,complex,Act3,A03,281,FDR,0.7011952191235059,True,high,lower,False
10,complex,Act4,A11,281,FDR,0.7011952191235059,True,high,lower,False
10,complex,Act5,A06,207,FDR,5.369658119658119,True,severe,higher,False
10,complex,Act6,A02,68,FDR,0.6857142857142857,True,high,lower,False
10,complex,Act6,A07,182,FDR,0.1266233766233766,True,severe,lower,False
10,complex,Act6,A09,122,FDR,0.0,True,severe,lower,False
10,complex,Act7,A02,114,FDR,0.2956730769230769,True,severe,lower,False
10,complex,Act7,A09,187,FDR,0.1863636363636363,True,severe,lower,False
10,complex,Act8,A02,65,FDR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FDR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FDR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FDR,7.922297297297297,True,severe,higher,False
10,complex,Act9,A02,13,FDR,15.227272727272728,True,severe,higher,True
10,complex,Act9,A07,10,FDR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FDR,0.0,True,severe,lower,True
10,complex,Act10,A01,128,FDR,10.0,True,severe,higher,False
10,complex,Act10,A04,158,FDR,10.0,True,severe,higher,False
10,complex,Res1,Front Desk,286,FDR,1.5776892430278884,True,severe,higher,False
10,complex,Res2,HR-pro,167,FDR,1.6689342403628118,True,severe,higher,False
10,complex,Res3,HR-pro,105,FDR,0.0,True,severe,lower,False
10,complex,Res4,HR-pro,109,FDR,2.453608247422681,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FDR,1.762962962962963,True,severe,higher,False
10,complex,Res5,HR-pro,61,FDR,5.698412698412698,True,severe,higher,False
10,complex,Res5,deepResearch Inc.,146,FDR,5.2485380116959055,True,severe,higher,False
10,complex,Res8,HR-dummy,26,FDR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FDR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FDR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FDR,5.234375,True,severe,higher,False
10,complex,Res9,HR-dummy,82,FDR,11.166666666666666,True,severe,higher,False
10,complex,Res9,Senior Partner,116,FDR,5.7102272727272725,True,severe,higher,False
10,complex,Res10,HR-dummy,56,FDR,10.0,True,severe,higher,False
10,complex,Res10,HR-pro and Senior Partner,158,FDR,10.0,True,severe,higher,False
10,complex,Res10,Senior Partner,72,FDR,10.0,True,severe,higher,False
10,complex,gender_cat,F,250,FDR,0.3630952380952381,True,severe,lower,False
10,complex,citizen_cat,F,229,FDR,0.6695095948827292,True,high,lower,False
10,complex,age_group,18-29,6,FDR,0.0,True,severe,lower,True
10,complex,age_group,30-44,164,FDR,0.2816780821917808,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FDR,2.3242574257425743,True,severe,higher,False
10,complex,Act3,A03,281,FOR,2.6444444444444444,True,severe,higher,False
10,complex,Act4,A11,281,FOR,2.6444444444444444,True,severe,higher,False
10,complex,Act6,A02,68,FOR,0.0,True,severe,lower,False
10,complex,Act6,A09,122,FOR,1.59375,True,severe,higher,False
10,complex,Act7,A02,114,FOR,1.6,True,severe,higher,False
10,complex,Act7,A09,187,FOR,1.4545454545454546,True,high,higher,False
10,complex,Act8,A02,65,FOR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FOR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FOR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FOR,0.0839999999999999,True,severe,lower,False
10,complex,Act9,A02,13,FOR,0.7,True,high,lower,True
10,complex,Act9,A07,10,FOR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FOR,0.4666666666666666,True,severe,lower,True
10,complex,Res2,HR-pro,167,FOR,1.4666666666666668,True,high,higher,False
10,complex,Res3,HR-pro,105,FOR,2.857142857142857,True,severe,higher,False
10,complex,Res3,Senior Partner,189,FOR,1.894736842105263,True,severe,higher,False
10,complex,Res4,HR-pro,109,FOR,2.0,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FOR,3.75,True,severe,higher,False
10,complex,Res5,HR-pro,61,FOR,1.3684210526315788,True,high,higher,False
10,complex,Res8,HR-dummy,26,FOR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FOR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FOR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FOR,0.3999999999999999,True,severe,lower,False
10,complex,Res9,HR-dummy,82,FOR,0.1272727272727272,True,severe,lower,False
10,complex,Res9,Senior Partner,116,FOR,0.0499999999999999,True,severe,lower,False
10,complex,gender_cat,F,250,FOR,1.4,True,high,higher,False
10,complex,citizen_cat,F,229,FOR,1.2857142857142856,True,high,higher,False
10,complex,age_group,30-44,164,FOR,1.3333333333333333,True,high,higher,False
10,complex,age_group,65+,44,FOR,0.0,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FOR,2.333333333333333,True,severe,higher,False
10,complex,Act5,A06,207,FPR,0.6533333333333334,True,high,lower,False
10,complex,Act6,A02,68,FPR,2.857142857142857,True,severe,higher,False
10,complex,Act6,A09,122,FPR,0.0,True,severe,lower,False
10,complex,Act7,A02,114,FPR,0.5,True,severe,lower,False
10,complex,Act7,A09,187,FPR,0.2368421052631578,True,severe,lower,False
10,complex,Act8,A02,65,FPR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FPR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FPR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FPR,0.2592592592592592,True,severe,lower,False
10,complex,Act9,A07,10,FPR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FPR,0.0,True,severe,lower,True
10,complex,Res2,HR-pro,167,FPR,1.4666666666666668,True,high,higher,False
10,complex,Res3,HR-pro,105,FPR,0.0,True,severe,lower,False
10,complex,Res4,HR-pro,109,FPR,2.7692307692307696,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FPR,3.2,True,severe,higher,False
10,complex,Res5,HR-pro,61,FPR,0.5490196078431373,True,high,lower,False
10,complex,Res5,deepResearch Inc.,146,FPR,0.7070707070707072,True,high,lower,False
10,complex,Res8,HR-dummy,26,FPR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FPR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FPR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FPR,0.3333333333333333,True,severe,lower,False
10,complex,Res9,HR-dummy,82,FPR,0.3333333333333333,True,severe,lower,False
10,complex,Res9,Senior Partner,116,FPR,0.2,True,severe,lower,False
10,complex,gender_cat,F,250,FPR,0.2071428571428571,True,severe,lower,False
10,complex,citizen_cat,F,229,FPR,0.6263736263736265,True,high,lower,False
10,complex,age_group,30-44,164,FPR,0.3166666666666667,True,severe,lower,False
10,complex,age_group,65+,44,FPR,0.4318181818181819,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FPR,1.596774193548387,True,severe,higher,False
10,complex,religious_cat,F,252,FPR,0.588235294117647,True,high,lower,False
10,complex,Act3,A03,281,FNR,2.3976377952755907,True,severe,higher,False
10,complex,Act4,A11,281,FNR,2.3976377952755907,True,severe,higher,False
10,complex,Act5,A06,207,FNR,9.121019108280256,True,severe,higher,False
10,complex,Act6,A02,68,FNR,0.0,True,severe,lower,False
10,complex,Act6,A07,182,FNR,0.1115056818181818,True,severe,lower,False
10,complex,Act6,A09,122,FNR,0.1649159663865546,True,severe,lower,False
10,complex,Act7,A09,187,FNR,1.4404761904761905,True,high,higher,False
10,complex,Act8,A02,65,FNR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FNR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FNR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FNR,1.4083333333333334,True,high,higher,False
10,complex,Act9,A02,13,FNR,6.145454545454546,True,severe,higher,True
10,complex,Act9,A07,10,FNR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FNR,4.828571428571428,True,severe,higher,True
10,complex,Act10,A01,128,FNR,10.0,True,severe,higher,False
10,complex,Act10,A04,158,FNR,10.0,True,severe,higher,False
10,complex,Res1,Front Desk,286,FNR,1.5776892430278884,True,severe,higher,False
10,complex,Res2,HR-pro,167,FNR,1.6689342403628118,True,severe,higher,False
10,complex,Res3,HR-pro,105,FNR,7.219101123595506,True,severe,higher,False
10,complex,Res3,Senior Partner,189,FNR,2.2810650887573964,True,severe,higher,False
10,complex,Res4,HR-pro,109,FNR,1.6527777777777777,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FNR,2.1915285451197053,True,severe,higher,False
10,complex,Res5,HR-pro,61,FNR,16.272727272727273,True,severe,higher,False
10,complex,Res5,deepResearch Inc.,146,FNR,6.336283185840708,True,severe,higher,False
10,complex,Res8,HR-dummy,26,FNR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FNR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FNR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FNR,4.096969696969698,True,severe,higher,False
10,complex,Res9,HR-dummy,82,FNR,2.331034482758621,True,severe,higher,False
10,complex,Res9,Senior Partner,116,FNR,0.786046511627907,True,moderate,lower,False
10,complex,Res10,HR-dummy,56,FNR,10.0,True,severe,higher,False
10,complex,Res10,HR-pro and Senior Partner,158,FNR,10.0,True,severe,higher,False
10,complex,Res10,Senior Partner,72,FNR,10.0,True,severe,higher,False
10,complex,gender_cat,F,250,FNR,3.255813953488372,True,severe,higher,False
10,complex,citizen_cat,F,229,FNR,1.536945812807882,True,severe,higher,False
10,complex,age_group,18-29,6,FNR,0.0,True,severe,lower,True
10,complex,age_group,30-44,164,FNR,1.4630872483221475,True,high,higher,False
10,complex,age_group,65+,44,FNR,0.0,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FNR,3.586206896551724,True,severe,higher,False
10,complex,religious_cat,F,252,FNR,1.3623853211009176,True,high,higher,False
10,simple,Act5,A06,207,PPR,0.42,True,severe,under,False
10,simple,Act6,A02,68,PPR,0.4217687074829932,True,severe,under,False
10,simple,Act6,A09,122,PPR,0.7891156462585034,True,moderate,under,False
10,simple,Act7,A02,114,PPR,0.4194915254237288,True,severe,under,False
10,simple,Act7,A09,187,PPR,0.6864406779661018,True,high,under,False
10,simple,Act8,A01,86,PPR,0.3906976744186046,True,severe,under,False
10,simple,Act8,A02,65,PPR,0.2186046511627906,True,severe,under,False
10,simple,Act8,A07,109,PPR,0.3767441860465116,True,severe,under,False
10,simple,Act8,A09,97,PPR,0.3255813953488372,True,severe,under,False
10,simple,Act9,A01,198,PPR,0.430722891566265,True,severe,under,False
10,simple,Act9,A02,13,PPR,0.0210843373493975,True,severe,under,True
10,simple,Act9,A07,10,PPR,0.0240963855421686,True,severe,under,True
10,simple,Act9,A09,16,PPR,0.0210843373493975,True,severe,under,True
10,simple,Act10,A01,128,PPR,0.1740614334470989,True,severe,under,False
10,simple,Act10,A04,158,PPR,0.5221843003412969,True,high,under,False
10,simple,gender_cat,F,250,PPR,0.6904761904761905,True,high,under,False
10,simple,citizen_cat,F,229,PPR,0.6084142394822006,True,high,under,False
10,simple,age_group,18-29,6,PPR,0.019108280254777,True,severe,under,True
10,simple,age_group,30-44,164,PPR,0.4585987261146497,True,severe,under,False
10,simple,age_group,65+,44,PPR,0.1050955414012738,True,severe,under,False
10,simple,german_speaking_cat,F,234,PPR,0.6402640264026402,True,high,under,False
10,simple,religious_cat,F,252,PPR,0.7197231833910035,True,high,under,False
10,simple,Act5,A06,207,PPR,0.7547826086956522,True,moderate,under,False
10,simple,Act6,A02,68,PPR,1.2839135654261704,True,high,over,False
10,simple,Act6,A07,182,PPR,1.3307916573222691,True,high,over,False
10,simple,Act6,A09,122,PPR,1.3389093342254934,True,high,over,False
10,simple,Act8,A02,65,PPR,0.7466189624329159,True,high,under,False
10,simple,Act8,A07,109,PPR,0.7673138468103264,True,moderate,under,False
10,simple,Act8,A09,97,PPR,0.7451450491488851,True,high,under,False
10,simple,Act9,A01,198,PPR,0.7439759036144579,True,high,under,False
10,simple,Act9,A02,13,PPR,0.5546802594995366,True,high,under,True
10,simple,Act9,A09,16,PPR,0.4506777108433735,True,severe,under,True
10,simple,Act10,A01,128,PPR,0.3984375,True,severe,under,False
10,simple,Act3,A03,281,FDR,0.522633744855967,True,high,lower,False
10,simple,Act4,A11,281,FDR,0.522633744855967,True,high,lower,False
10,simple,Act5,A06,207,FDR,19.047619047619047,True,severe,higher,False
